seller_id,orders,late_handoffs,late_rate,late_rate_outside_spike
f80edd2c5aaa505cc4b0a3b219abf4b8,111,19,0.17117117117117117,0.17647058823529413
e067ad2c1c0b48758eb1b5228bcf7a68,54,18,0.3333333333333333,0.3
0c8380b62e38e8a1e6adbeba7eb9688c,172,18,0.10465116279069768,0.10059171597633136
fa1a9dec3a9940c072684a46728bf1fc,51,18,0.35294117647058826,0.3695652173913043
cd68562d3f44870c08922d380acae552,122,18,0.14754098360655737,0.15454545454545454
beadbee30901a7f61d031b6b686095ad,63,18,0.2857142857142857,0.2857142857142857
6d66611d7c44cc30ce351abc49a68421,161,18,0.11180124223602485,0.1048951048951049
f46490624488d3ff7ce78613913a7711,83,18,0.21686746987951808,0.21686746987951808
76d5af76d0271110f9af36c92573f765,128,18,0.140625,0.13793103448275862
f27e33c6d29b5138fa9967bcd445b6d5,91,18,0.1978021978021978,0.18181818181818182
70c27847eca8195c983ed7e798c56743,75,17,0.22666666666666666,0.22666666666666666
94144541854e298c2d976cb893b81343,68,17,0.25,0.22727272727272727
59fb871bf6f4522a87ba567b42dafecf,125,17,0.136,0.1452991452991453
0adac9fbd9a2b63cccaac4f8756c1ca8,105,17,0.1619047619047619,0.16853932584269662
2138ccb85b11a4ec1e37afbd1c8eda1f,379,17,0.044854881266490766,0.03888888888888889
2528513dd95219a6013d4d05176e391a,147,17,0.11564625850340136,0.13675213675213677
1bb2bdb95f4841f1bba2c0d2cd83d3c9,80,17,0.2125,0.25862068965517243
cfb1a033743668a192316f3c6d1d2671,129,16,0.12403100775193798,0.13114754098360656
e9d99831abad74458942f21e16f33f92,129,16,0.12403100775193798,0.13008130081300814
dd2bdf855a9172734fbc3744021ae9b9,106,16,0.1509433962264151,0.1509433962264151
218d46b86c1881d022bce9c68a7d4b15,376,16,0.0425531914893617,0.0528169014084507
96493fab2fbb13a14d0c0e8772eef5c3,63,16,0.25396825396825395,0.23076923076923078
44073f8b7e41514de3b7815dd0237f4f,142,16,0.11267605633802817,0.1037037037037037
d20b021d3efdf267a402c402a48ea64b,74,15,0.20270270270270271,0.16666666666666666
0dd184061fb0eaa7ca37932c68ab91c5,156,15,0.09615384615384616,0.0761904761904762
5058e8c1e82653974541e83690655b4a,59,15,0.2542372881355932,0.24489795918367346
a888faf2d1baececa6baf9c3d603ee1f,53,15,0.2830188679245283,0.2830188679245283
900ba814c251a692506d7834c1218441,86,15,0.1744186046511628,0.17567567567567569
891071be6ba827b591264c90c2ae8a63,84,15,0.17857142857142858,0.1917808219178082
712e6ed8aa4aa1fa65dab41fed5737e4,79,15,0.189873417721519,0.234375
fa40cc5b934574b62717c68f3d678b6d,301,15,0.04983388704318937,0.05363984674329502
dc4a0fc896dc34b0d5bfec8438291c80,217,14,0.06451612903225806,0.06280193236714976
1d8dbc4f32378d715c717c1c1fc57bae,88,14,0.1590909090909091,0.17567567567567569
0db783cfcd3b73998abc6e10e59a102f,130,14,0.1076923076923077,0.11403508771929824
ef0ace09169ac090589d85746e3e036f,126,13,0.10317460317460317,0.12222222222222222
